id,groupId,userId,text,status,type,imageURL,approved,officialReply,category,date
61,1,0,"GSB Students are scattered throughout EV and Munger - why not all together?",complete,,,1,"This is an interesting idea. It's hard to create a 'neighborhood' like you suggest right now because Grad Student housing is tabling any changes until the new housing comes online in two years. As that comes online we will bring this up.

The other issue we'll have to figure out here is that not everyone will be in the neighborhood because of variability in the housing numbers.","Student Life","2017-04-06 20:25:16"
62,1,0,"Can we get a GSB-wide contact sheet?",complete,,,1,,Technology,"2017-04-06 20:25:16"
63,1,0,"Convenient Stanford Grocery Store",queue,,,1,,"Student Life","2017-04-06 20:25:16"
64,1,0,"No Late Night Food Options",queue,,,1,,"Student Life","2017-04-06 20:25:16"
65,1,0,"Can we move 8am fall lead labs to 1pm?",inprocess,,,1,,Academic,"2017-04-06 20:25:16"
66,1,0,"Coupa Coffee is really small for how expensive it is...",queue,,,1,,"Student Life","2017-04-06 20:25:16"
67,1,0,"Portion sizes at Arbuckle are pretty small, can we add an XL size?",complete,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
76,1,0,"Stanford bus schedule doesn't match the Caltrain schedule",complete,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
79,1,0,"Why is there no IM soccer during the fall or winter! It has to be the most popular sport on campus",queue,,,1,,"Student Life","2017-04-06 20:25:16"
84,1,0,"Doors to Arbuckle should automatically close, right now it is really drafty",inprocess,,https://s3-us-west-2.amazonaws.com/feedback-app-user-images/IMG_20170319_132741432.jpg,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
94,1,0,"No one at the munger front desk on the weekends makes using one of the shared vacuums difficult.",queue,,,1,,"Student Life","2017-04-06 20:25:16"
100,1,0,"Can we have more course books to borrow from Stanford library or even to take copies and study in the library ",complete,,,1,,Academic,"2017-04-06 20:25:16"
102,1,0,"Can we get audio recordings of cases?",complete,,,1,"The office of accessible education has the ability to convert text files into audio files, which could be one solution (search for SCRIBE).

",Technology,"2017-04-06 20:25:16"
105,1,0,"The fish and salad combo is awesome, I would get that everyday if it changed each day!",complete,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
106,1,0,"Salad bar items could be improved, for example look at sweet greens menu in downtown PA or Dig In in NYC and add those types of food. E.g. Warm quinoa, roasted sweet potatoes, kale, portobello mix, wa",queue,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
108,1,0,"An airport shuttle on Friday evenings ",queue,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
112,1,0,"Salad bar should stay open all day in Arbuckle - why do they close it? ",complete,,,1,"We've tried leaving it open later and unfortunately there isn't enough usage to pay for the extra people it requires to maintain the salad bar... perhaps we could leave it open on specific days when we know there would be more usage - leave a recommendation in the comments if you have any ideas!","Student Life","2017-04-06 20:25:16"
113,1,0,"Need checks and balances on Small Group Dinner funding",queue,,,1,,"Student Life","2017-04-06 20:25:16"
115,1,0,"Need pavement or gravel on path between gerona road and dish entrance - is a complete mud pit",queue,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
116,1,0,"Dual Degree students have a hard time finding housing because they are not here for a full year",queue,,,1,,"Student Life","2017-04-06 20:25:16"
117,1,0,"The Wifi around Bass and Arbuckle simply sucks. Wifi in highland hall, munger, and classrooms is very patchy as well.",inprocess,,,1,,Technology,"2017-04-06 20:25:16"
123,1,0,"Can we add whiteboards to study rooms / lounges in Highland",complete,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
125,1,0,"Course evaluations for compressed courses aren't available for enough time. Didn't get opportunity to provide feedback for compressed course (that needs it). ",new,,,1,,Academic,"2017-04-06 20:25:16"
127,1,0,"I wish they had mint or chai tea in the Highland/Schwab coffee areas",new,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
131,1,0,"We should switch from the forced mean system which mandates low passes. We can still have commendations for high grades, but there is no need to put students on academic probation for low passes. ",queue,,,1,,Academic,"2017-04-06 20:25:16"
133,1,0,"Foundations classes need to coordinate on not having overlapping material. I've heard about the lemons problem three times in the last two weeks in three different classes",queue,,,1,,Academic,"2017-04-06 20:25:16"
134,1,0,"Can we get better pump up music at the Arillaga gym? Hip hop or top 40 please!",queue,,,1,,"Student Life","2017-04-06 20:25:16"
135,1,0,"In arbuckle, let us get the custom salad WITHOUT the fish for a lower price ",queue,,,1,,"Facilities and Hospitality","2017-04-06 20:25:16"
136,1,0,"No 8am exams please",queue,,,1,,Academic,"2017-04-06 20:25:16"
137,1,0,"Love the music in arbuckle and town square, but NO MORE LAME ELEVATOR MUSIC. Have some class GSB",inprocess,,,1,,"Student Life","2017-04-10 16:03:11"
142,1,0,"You Choose! Drink & Snack Selection in Arbuckle",complete,,,1,,"Student Life","2017-04-12 18:11:24"
152,1,0,"The curve shouldn't force students to receive a low pass if they get above a certain absolute grade % (e.g. 75%)",queue,,,1,,Academic,"2017-04-14 21:55:12"
153,1,0,"Stanford GSB should have a plan with concrete steps for raising our US news school ranking ",queue,,,1,,"External Relations","2017-04-14 22:33:12"
154,1,0,"DeMarzo should be weaved into the core as a required class that spans two quarters. People shouldn't leave here w/o learning to model, and it doesn't need to be such an all-consuming experience. ",queue,,,1,,Academic,"2017-04-14 22:37:21"
156,1,0,"Add lights on the sidewalk path between Highland and Schwab - students frequently trip and fall at night",new,,,1,,"Facilities and Hospitality","2017-04-14 22:46:35"
158,1,0,"Increase the amount of veggies at the Arbuckle Action Items station. Feels like mostly rice or noodles today and I usually have to ask for extra.",queue,,,1,,"Facilities and Hospitality","2017-04-14 22:56:12"
159,1,0,"Vote here for AC vs. Heat in GSB Residences",inprocess,,,1,,"Facilities and Hospitality","2017-04-17 08:06:20"
160,1,0,"I wish there were a convenience store equivalent on campus",new,,,1,,"Student Life","2017-04-17 21:22:11"
161,1,0,"Bring in more professors + courses focusing on biotech. Software is great but there's so much more out there.",queue,,,1,,Academic,"2017-04-17 21:22:12"
165,1,0,"Can you please an explanation for how the small group dinner lottery algorithm works?",complete,,,1,,Academic,"2017-04-18 16:22:59"
